n,d,p,K,SNR,cluster_accuracy_mean,feature_tpr_mean,selected_feature_count_mean,trial_mean,cluster_accuracy_std,feature_tpr_std,selected_feature_count_std,trial_std
100,100,20,3,1.1,0.9970000000000001,0.8899999999999999,20.0,5.5,0.004830458915396484,0.056764621219754646,0.0,3.0276503540974917
100,500,20,3,1.1,0.9970000000000001,0.845,20.0,5.5,0.004830458915396484,0.11413929112175952,0.0,3.0276503540974917
100,1000,20,3,1.1,0.9960000000000001,0.86,20.0,5.5,0.009660917830792965,0.10219806477837261,0.0,3.0276503540974917
100,5000,20,3,1.1,0.9530000000000001,0.8150000000000001,20.0,5.5,0.1451474346234813,0.11067971810589326,0.0,3.0276503540974917
100,10000,20,3,1.1,0.9530000000000001,0.8250000000000002,20.0,5.5,0.13474667590210407,0.13591255358583407,0.0,3.0276503540974917
100,100,20,3,1.5,1.0,0.9400000000000001,20.0,5.5,0.0,0.039440531887330765,0.0,3.0276503540974917
100,500,20,3,1.5,1.0,0.8800000000000001,20.0,5.5,0.0,0.09775252199076788,0.0,3.0276503540974917
100,1000,20,3,1.5,1.0,0.9049999999999999,20.0,5.5,0.0,0.05502524673073059,0.0,3.0276503540974917
100,5000,20,3,1.5,1.0,0.86,20.0,5.5,0.0,0.11498792207106892,0.0,3.0276503540974917
100,10000,20,3,1.5,1.0,0.8300000000000001,20.0,5.5,0.0,0.18287822299126938,0.0,3.0276503540974917
100,100,20,3,2.0,1.0,0.96,20.0,5.5,0.0,0.03944053188733077,0.0,3.0276503540974917
100,500,20,3,2.0,1.0,0.96,20.0,5.5,0.0,0.021081851067789214,0.0,3.0276503540974917
100,1000,20,3,2.0,1.0,0.9550000000000001,20.0,5.5,0.0,0.04377975178854565,0.0,3.0276503540974917
100,5000,20,3,2.0,1.0,0.9650000000000001,20.0,5.5,0.0,0.02415229457698242,0.0,3.0276503540974917
100,10000,20,3,2.0,1.0,0.875,20.0,5.5,0.0,0.1637240225365708,0.0,3.0276503540974917
100,100,20,3,5.0,1.0,1.0,20.0,5.5,0.0,0.0,0.0,3.0276503540974917
100,500,20,3,5.0,1.0,0.99,20.0,5.5,0.0,0.021081851067789217,0.0,3.0276503540974917
100,1000,20,3,5.0,1.0,0.99,20.0,5.5,0.0,0.021081851067789214,0.0,3.0276503540974917
100,5000,20,3,5.0,1.0,0.99,20.0,5.5,0.0,0.021081851067789214,0.0,3.0276503540974917
100,10000,20,3,5.0,1.0,0.9949999999999999,20.0,5.5,0.0,0.01581138830084191,0.0,3.0276503540974917
